hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
16370	2	134	1052	3	0	0	2000-01-01	103	3.6521	3.5292	4.2612	3.5189	3.299	NULL	NULL	56.0	NULL	NULL	NULL	31.34083366394043	121.89095306396484	NULL	NULL	NULL
16517	2	113	989	4	0	0	2000-12-01	155	4.4637	4.4974	4.6044	4.4166	4.3365	8.0	8.0	NULL	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
17651	2	114	986	3	291	819	2001-07-01	113	4.3494	4.5088	4.3509	4.345	4.193	10.0	19.0	15.0	5.0	5.0	5.0	NULL	NULL	NULL	NULL	NULL
18393	2	119	359	4	162	1	2001-01-01	269	4.4292	4.5134	4.4418	4.4385	4.3231	16.0	30.0	13.0	1.5	1.5	1.5	NULL	NULL	NULL	NULL	NULL
18484	2	114	989	3	0	0	2001-12-01	116	4.2402	4.296	4.4374	4.1783	4.0491	NULL	NULL	NULL	NULL	NULL	NULL	31.216567993164062	121.4396743774414	NULL	NULL	NULL
18813	2	115	14	4	0	0	2010-01-01	110	4.1165	4.093	4.4682	4.065	3.8399	3.0	12.0	1.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
18827	2	113	990	3	0	0	1997-01-01	178	4.1251	4.1508	4.5452	3.9743	3.8302	13.0	10.0	8.0	2.0	2.0	2.0	31.186216354370117	121.44652557373047	NULL	NULL	10
18834	2	114	989	5	131	70	2002-01-01	190	4.6729	4.7099	4.7599	4.6574	4.5644	7.0	9.5	5.5	5.0	5.0	5.0	NULL	NULL	NULL	NULL	NULL
18932	2	116	368	3	0	0	1991-01-01	330	3.6061	3.6265	3.8265	3.551	3.4204	NULL	NULL	9.5	NULL	NULL	NULL	31.30373191833496	121.4935073852539	NULL	NULL	NULL
19086	2	113	-1	4	317	158	2002-01-01	120	4.3898	4.4228	4.5828	4.353	4.2004	8.0	9.5	5.5	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
19345	2	114	762	4	10	9	2003-01-01	239	4.511	4.6106	4.461	4.5066	4.4656	8.5	7.0	6.5	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
19422	2	115	14	3	0	0	1998-01-01	103	4.1708	4.1491	4.6334	4.0595	3.841	5.0	12.0	2.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19492	2	114	4	4	0	0	2003-01-01	191	4.4142	4.4397	4.5427	4.3845	4.2901	8.0	5.0	11.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
19695	2	115	362	3	0	0	2002-12-01	81	4.2118	4.2466	4.3487	4.2712	3.9807	7.0	20.0	3.0	4.5	4.5	4.5	NULL	NULL	NULL	NULL	NULL
19716	2	115	28	5	162	2	2003-01-01	358	4.5665	4.5928	4.7631	4.5035	4.4068	6.0	14.0	1.0	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
19912	2	119	22	3	0	0	2000-01-01	350	3.8334	3.8872	3.9573	3.873	3.6161	NULL	NULL	5.0	NULL	NULL	NULL	31.24772071838379	121.5368423461914	NULL	NULL	NULL
21312	2	115	28	5	0	0	2004-10-01	350	4.2461	4.2734	4.49	4.2008	4.0203	NULL	NULL	0.20000000298023224	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21319	2	116	369	2	3	44	2004-09-01	156	4.25	4.2941	4.3305	4.2501	4.1253	6.0	19.0	3.0	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
21424	2	119	22	2	0	0	2004-01-01	78	4.0012	3.9222	4.3175	3.9921	3.773	NULL	NULL	6.5	NULL	NULL	NULL	31.22860336303711	121.53425598144531	NULL	NULL	NULL
21648	2	115	118	3	0	0	2004-01-01	160	4.1348	4.0492	4.5992	4.1259	3.7649	4.0	15.0	1.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
21739	2	117	871	3	0	0	1998-08-01	215	4.1583	4.1771	4.3762	4.1207	3.9592	NULL	NULL	35.0	NULL	NULL	NULL	31.402374267578125	121.49349975585938	NULL	NULL	NULL
23237	2	119	379	2	0	0	2005-01-01	216	3.4972	3.5177	3.5594	3.6322	3.2793	NULL	NULL	15.0	NULL	NULL	NULL	31.197492599487305	121.56857299804688	NULL	NULL	NULL
25211	2	115	362	4	0	0	2005-10-01	76	4.5235	4.6128	4.4586	4.5714	4.4511	5.0	15.0	2.0	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
25407	2	113	987	3	263	152	2012-05-01	136	4.1302	4.2016	4.1826	4.0818	4.0549	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26450	2	121	368	5	32	23	2006-06-01	309	4.571	4.6812	4.5228	4.5566	4.5233	8.0	40.0	NULL	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
44762	2	120	762	3	32	22	2006-10-01	235	4.2262	4.3585	4.2016	4.2172	4.1274	4.0	9.0	5.0	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
44783	2	120	365	2	1	110	2006-10-01	140	4.0872	4.1211	4.2446	4.0624	3.9209	NULL	NULL	5.0	NULL	NULL	NULL	31.254253387451172	121.43758392333984	NULL	NULL	NULL
45322	2	113	987	2	291	50	2006-10-01	115	4.1821	4.2477	4.2532	4.1927	4.0349	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
45420	2	122	364	5	0	0	2006-07-01	210	4.4808	4.534	4.5051	4.4896	4.3944	15.0	4.0	12.0	5.0	5.0	5.0	NULL	NULL	NULL	NULL	NULL
45644	2	118	366	2	3	44	2005-10-01	195	4.2218	4.3036	4.2083	4.2083	4.1668	5.0	17.0	6.0	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
45910	2	115	28	3	422	445	2006-03-01	184	3.9401	3.8303	4.5001	3.9132	3.5169	4.0	15.0	NULL	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
46211	2	114	4	2	5	664	2006-11-01	109	3.8903	3.9905	3.8729	3.9438	3.754	10.0	2.5	7.0	3.5	3.5	3.5	NULL	NULL	NULL	NULL	NULL
46246	2	114	16	2	1	110	2005-03-01	157	4.2144	4.2626	4.3462	4.2249	4.0241	7.0	10.0	4.5	2.0	2.0	2.0	31.21977996826172	121.43727111816406	NULL	NULL	NULL
46701	2	113	7	3	0	0	1998-01-01	126	4.3191	4.3707	4.4061	4.2975	4.2023	12.0	17.0	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
46750	2	114	4	3	0	0	2007-05-01	102	4.0508	4.0299	4.3826	3.9231	3.8674	NULL	8.0	8.0	2.5	2.5	2.5	NULL	NULL	NULL	25	NULL
46813	2	113	987	2	0	0	2006-08-01	78	3.9751	4.0	4.018	4.0646	3.8178	NULL	NULL	9.0	NULL	NULL	NULL	31.164257049560547	121.41311645507812	NULL	NULL	NULL
47534	2	120	986	2	5	48	2006-12-01	139	4.0379	4.1005	4.0988	4.0767	3.8756	8.0	15.0	7.0	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
48094	2	113	363	2	291	50	2007-03-01	169	4.2675	4.4015	4.136	4.3227	4.2097	14.0	14.699999809265137	14.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
48101	2	119	361	5	37	12	2007-01-01	525	4.5603	4.6444	4.5794	4.5233	4.4942	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
49004	2	120	365	2	5	48	2007-11-01	153	4.077	4.084	4.3359	4.0483	3.8397	8.0	8.0	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
50621	2	122	364	3	0	0	2006-08-01	115	4.3557	4.3905	4.4972	4.2791	4.2558	9.0	4.800000190734863	11.0	5.5	5.5	5.5	NULL	NULL	NULL	NULL	NULL
50649	2	121	368	4	0	0	2007-09-01	173	4.5402	4.6117	4.5552	4.544	4.4498	8.0	15.0	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
51286	2	119	466	2	291	50	2007-09-01	216	4.2966	4.3923	4.2853	4.329	4.1798	47.0	60.0	43.0	40.0	40.0	40.0	31.179603576660156	121.80159759521484	NULL	NULL	NULL
52707	2	113	7	2	5	48	2008-02-01	113	4.1665	4.1715	4.2996	4.1859	4.009	NULL	NULL	1.0	NULL	NULL	NULL	31.201343536376953	121.43485260009766	NULL	NULL	NULL
54261	2	128	873	4	0	0	2006-11-01	212	4.0397	4.0357	4.2752	4.0057	3.842	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
54282	2	119	22	2	1	110	2007-12-01	118	4.0459	4.0839	4.1941	4.0683	3.8371	20.0	30.0	5.0	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
54576	2	122	363	2	0	0	2005-10-01	146	3.7105	3.8246	3.6316	3.9123	3.4737	NULL	NULL	17.0	NULL	NULL	NULL	31.129207611083984	121.42523956298828	NULL	NULL	NULL
54982	2	119	22	3	0	0	2007-03-01	68	3.4097	3.4056	3.6	3.45	3.1833	NULL	NULL	7.0	NULL	NULL	NULL	31.217275619506836	121.5292739868164	NULL	NULL	NULL
55255	2	125	841	4	0	0	1984-01-01	387	4.0401	4.1477	4.0956	3.9789	3.9381	42.0	25.0	28.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
56165	2	120	981	4	0	0	2007-01-01	23	4.1844	4.1979	4.3587	4.1577	4.0233	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
56550	2	122	842	2	1	110	2008-04-01	119	4.0818	4.132	4.0338	4.2148	3.9466	NULL	NULL	17.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
56935	2	120	365	5	131	70	2008-07-01	288	4.3759	4.548	4.214	4.3798	4.3617	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
